,main_label,crop,crop_disease
0,Apple___Apple_scab,Apple,Apple_scab
1,Apple___Black_rot,Apple,Black_rot
2,Apple___Cedar_apple_rust,Apple,Cedar_apple_rust
3,Apple___healthy,Apple,healthy
4,Blueberry___healthy,Blueberry,healthy
5,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour),Powdery_mildew
6,Cherry_(including_sour)___healthy,Cherry_(including_sour),healthy
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize),Cercospora_leaf_spot Gray_leaf_spot
8,Corn_(maize)___Common_rust_,Corn_(maize),Common_rust_
9,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize),Northern_Leaf_Blight
10,Corn_(maize)___healthy,Corn_(maize),healthy
11,Grape___Black_rot,Grape,Black_rot
12,Grape___Esca_(Black_Measles),Grape,Esca_(Black_Measles)
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf_blight_(Isariopsis_Leaf_Spot)
14,Grape___healthy,Grape,healthy
15,Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing_(Citrus_greening)
16,Peach___Bacterial_spot,Peach,Bacterial_spot
17,Peach___healthy,Peach,healthy
18,"Pepper,_bell___Bacterial_spot","Pepper,_bell",Bacterial_spot
19,"Pepper,_bell___healthy","Pepper,_bell",healthy
20,Potato___Early_blight,Potato,Early_blight
21,Potato___Late_blight,Potato,Late_blight
22,Potato___healthy,Potato,healthy
23,Raspberry___healthy,Raspberry,healthy
24,Soybean___healthy,Soybean,healthy
25,Squash___Powdery_mildew,Squash,Powdery_mildew
26,Strawberry___Leaf_scorch,Strawberry,Leaf_scorch
27,Strawberry___healthy,Strawberry,healthy
28,Tomato___Bacterial_spot,Tomato,Bacterial_spot
29,Tomato___Early_blight,Tomato,Early_blight
30,Tomato___Late_blight,Tomato,Late_blight
31,Tomato___Leaf_Mold,Tomato,Leaf_Mold
32,Tomato___Septoria_leaf_spot,Tomato,Septoria_leaf_spot
33,Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider_mites Two-spotted_spider_mite
34,Tomato___Target_Spot,Tomato,Target_Spot
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato_Yellow_Leaf_Curl_Virus
36,Tomato___Tomato_mosaic_virus,Tomato,Tomato_mosaic_virus
37,Tomato___healthy,Tomato,healthy
